,age,csp,gen,td1,td2,td3,td4,s_p_ms_1,s_p_ms_2,s_p_ms_3,s_p_ms_4,s_p_ms_5,s_p_ms_6,s_p_ms_7,s_p_ms_8,s_p_ms_9,s_p_mm_1,s_p_mm_2,s_p_mm_3,s_p_mm_4,s_p_ss_1,s_p_ss_2,s_p_ss_3,s_p_ss_4,s_v_ms_1,s_v_ms_2,s_v_ms_3,s_v_ms_4,s_v_ms_5,s_v_ms_6,s_v_ms_7,s_v_ms_8,s_v_ms_9,s_v_mm_1,s_v_mm_2,s_v_mm_3,s_v_mm_4,s_v_ss_1,s_v_ss_2,s_v_ss_3,s_v_ss_4,n_p_ms_1,n_p_ms_2,n_p_ms_3,n_p_ms_4,n_p_ms_5,n_p_ms_6,n_p_ms_7,n_p_ms_8,n_p_ms_9,n_p_mm_1,n_p_mm_2,n_p_mm_3,n_p_mm_4,n_p_ss_1,n_p_ss_2,n_p_ss_3,n_p_ss_4,n_v_ms_1,n_v_ms_2,n_v_ms_3,n_v_ms_4,n_v_ms_5,n_v_ms_6,n_v_ms_7,n_v_ms_8,n_v_ms_9,n_v_mm_1,n_v_mm_2,n_v_mm_3,n_v_mm_4,n_v_ss_1,n_v_ss_2,n_v_ss_3,n_v_ss_4
99,18-25 ans,"Élèves, étudiants",Femme,39,36,32,13,2,3,2,1,3,2,0,3,0,1,1,1,3,1,2,2,3,2,2,3,1,3,2,1,1,3,3,3,3,1,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,1,0,0,-1,1,-1,1,0,0,1,1,-1
100,18-25 ans,"Élèves, étudiants",Homme,38,28,66,16,2,3,2,2,1,3,1,1,1,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2,3,2,3,2,1,3,1,3,1,-1,0,0,1,-1,0,0,-1,1,-1,1,-1,-1,0,0,0,0,0,1,0,0,-1,1,-1,0,0,1,0,0,-1,1,-1,0,0
101,18-25 ans,"Élèves, étudiants",Femme,78,26,92,60,2,1,2,3,2,3,2,2,3,3,1,1,2,1,1,1,1,2,2,2,3,3,3,2,3,1,3,1,1,1,3,1,2,3,0,1,-1,1,-1,1,0,-1,1,1,0,0,-1,0,0,1,0,1,0,-1,0,1,0,-1,0,-1,1,-1,1,-1,-1,1,-1,-1
102,26-35 ans,"Élèves, étudiants",Homme,80,138,33,24,1,1,2,3,2,1,1,2,1,2,1,1,3,3,1,2,1,1,3,1,2,2,3,1,2,2,3,2,1,2,3,1,2,2,-1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,0,-1,1,0,-1,1,-1,0,1,-1,-1,1,-1,-1,0,1,-1,0,-1,1,0,-1
103,18-25 ans,"Élèves, étudiants",Femme,75,52,74,30,2,3,2,2,2,2,1,2,2,1,2,2,3,1,2,3,2,1,1,2,2,1,2,1,1,2,2,1,3,2,2,3,2,1,-1,0,-1,1,1,-1,1,1,-1,-1,0,-1,1,-1,1,-1,0,1,0,-1,1,0,0,0,0,0,1,0,0,0,-1,1,0,0
104,18-25 ans,"Élèves, étudiants",Homme,89,61,71,13,2,1,2,2,3,3,2,1,2,3,2,0,1,1,1,1,1,2,1,3,2,2,2,3,2,3,2,3,1,1,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,-1,1,1,-1,1,-1,-1,-1,1,0,1,-1,0,-1
105,18-25 ans,"Élèves, étudiants",Femme,102,34,86,25,2,0,2,3,2,2,2,3,1,2,1,2,1,2,1,2,2,3,2,2,2,1,2,2,1,1,3,2,1,3,3,2,3,2,1,0,-1,1,-1,1,-1,1,-1,1,0,0,0,-1,0,0,0,0,1,-1,1,-1,0,0,0,0,1,0,-1,0,0,0,0,0
106,18-25 ans,"Élèves, étudiants",Homme,114,53,85,33,2,1,1,2,1,2,2,1,1,3,1,1,1,2,1,2,0,3,2,2,3,2,3,1,3,2,2,2,1,2,3,1,2,2,-1,-1,1,0,1,0,1,-1,1,-1,1,1,0,0,1,1,0,1,0,1,-1,1,-1,-1,0,0,1,0,0,-1,1,1,-1,0
107,18-25 ans,"Élèves, étudiants",Homme,70,30,31,16,1,1,1,3,2,2,3,2,2,2,2,2,1,2,1,1,0,2,2,2,2,2,2,1,3,2,1,3,1,3,3,2,3,2,-1,0,1,-1,1,-1,1,-1,1,-1,0,0,0,1,0,0,0,-1,1,-1,0,1,0,-1,0,1,0,-1,1,-1,0,1,-1,1
108,18-25 ans,"Élèves, étudiants",Femme,147,19,83,37,3,0,2,3,1,3,2,2,1,3,1,2,2,2,2,1,3,2,2,3,3,3,3,2,2,2,3,1,1,3,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,-1,-1,1,0,0,1,-1,1,0,0,0
