,i_p,notes_p,score_p,i_v,notes_v,score_v
66,2,5,6,6,1,5
66,8,1,7,3,3,3
66,4,3,2,7,1,4
66,1,5,4,1,2,7
66,6,1,3,2,3,5
66,9,2,5,8,5,5
66,3,5,5,9,5,4
66,10,2,1,4,3,4
66,7,1,2,10,5,1
66,5,3,3,5,1,7
67,3,2,7,8,5,1
67,7,3,6,1,2,6
67,6,2,7,10,3,2
67,5,2,4,3,2,4
67,10,2,7,5,3,2
67,2,2,6,2,2,2
67,8,3,6,9,4,6
67,1,2,7,7,5,7
67,9,3,6,4,2,6
67,4,2,4,6,3,4
67,3,2,2,8,5,6
67,6,2,3,10,3,1
67,10,2,2,5,3,2
67,8,3,2,9,4,4
67,9,3,1,4,2,5
67,7,3,2,1,2,7
67,5,2,3,3,2,4
67,2,2,0,2,2,7
67,1,2,2,7,5,2
67,4,2,4,6,3,4
68,1,3,5,1,4,4
68,7,5,2,7,5,3
68,5,4,4,3,4,4
68,10,4,2,4,4,4
68,8,5,6,9,3,5
68,2,3,2,8,3,3
68,4,5,6,5,4,2
68,9,3,5,2,4,6
68,3,4,2,6,4,5
68,6,5,4,10,3,6
68,1,3,3,1,4,7
68,5,4,1,3,4,1
68,8,5,7,9,3,2
68,4,5,4,5,4,7
68,3,4,7,6,4,2
68,7,5,1,7,5,7
68,10,4,7,4,4,7
68,2,3,7,8,3,5
68,9,3,3,2,4,4
68,6,5,4,10,3,6
69,7,5,2,1,3,4
69,5,3,3,7,5,6
69,2,3,7,9,5,5
69,10,5,0,8,5,3
69,9,5,6,5,5,2
69,4,3,4,2,3,4
69,3,3,3,3,3,5
69,8,5,5,6,5,5
69,6,5,4,10,5,4
69,1,3,5,4,3,5
69,7,5,5,1,3,7
69,2,3,7,9,5,2
69,9,5,5,5,5,4
69,3,3,2,3,3,2
69,6,5,7,10,5,5
69,5,3,4,7,5,4
69,10,5,6,8,5,5
69,4,3,7,2,3,6
69,8,5,6,6,5,6
69,1,3,5,4,3,5
70,1,5,6,1,5,4
70,8,5,3,6,2,6
70,3,5,2,4,1,4
70,6,5,3,3,1,1
70,9,5,6,9,5,6
70,4,5,6,7,2,7
70,10,5,4,2,2,4
70,5,5,2,10,2,6
70,7,5,5,8,1,3
70,2,5,0,5,1,6
70,1,5,1,1,5,5
70,3,5,5,4,1,4
70,9,5,0,9,5,2
70,10,5,1,2,2,5
70,7,5,4,8,1,4
70,8,5,5,6,2,5
70,6,5,1,3,1,3
70,4,5,5,7,2,5
70,5,5,3,10,2,1
70,2,5,0,5,1,6
71,3,3,2,1,3,1
71,6,4,7,8,4,4
71,5,2,1,6,5,6
71,8,5,4,2,3,2
71,7,5,1,5,5,2
71,10,4,6,9,3,4
71,4,3,2,4,3,7
71,1,2,0,7,5,3
71,2,2,7,3,3,2
71,9,4,5,10,4,6
71,3,3,6,1,3,4
71,5,2,2,6,5,7
71,7,5,3,5,5,4
71,4,3,2,4,3,4
71,2,2,4,3,3,7
71,6,4,5,8,4,5
71,8,5,2,2,3,2
71,10,4,7,9,3,6
71,1,2,7,7,5,5
71,9,4,5,10,4,6
72,8,3,6,1,4,6
72,1,3,1,5,5,7
72,3,3,5,7,5,7
72,10,4,1,2,4,5
72,7,3,6,8,5,4
72,6,3,7,6,5,7
72,5,2,5,9,4,1
72,4,2,6,3,4,2
72,9,4,7,10,5,4
72,2,3,6,4,4,5
72,8,3,3,1,4,4
72,3,3,7,7,5,4
72,7,3,2,8,5,5
72,5,2,4,9,4,4
72,9,4,7,10,5,1
72,1,3,7,5,5,2
72,10,4,3,2,4,6
72,6,3,1,6,5,5
72,4,2,2,3,4,4
72,2,3,6,4,4,5
73,5,5,4,9,3,2
73,9,3,2,5,2,4
73,8,4,3,4,3,7
73,3,5,1,8,4,4
73,1,5,5,6,4,5
73,7,4,3,3,4,7
73,4,5,1,1,5,7
73,6,4,4,2,5,4
73,2,5,7,10,4,5
73,10,3,4,7,4,6
73,5,5,1,9,3,4
73,8,4,6,4,3,6
73,1,5,2,6,4,4
73,4,5,2,1,5,6
73,2,5,7,10,4,1
73,9,3,5,5,2,3
73,3,5,7,8,4,7
73,7,4,6,3,4,4
73,6,4,3,2,5,7
73,10,3,4,7,4,6
74,3,5,2,1,4,4
74,6,3,7,7,5,3
74,5,4,4,3,5,7
74,9,4,7,8,3,5
74,2,4,6,2,5,2
